Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",122.500000,-74.050000,0.000000,top
"C2","0.01uF","C_0603_1608Metric",124.725000,-71.825000,90.000000,top
"C3","0.01uF","C_0603_1608Metric",121.000000,-72.050000,180.000000,top
"C4","0.1uF","C_0603_1608Metric",120.725000,-86.270000,90.000000,top
"C5","0.1uF","C_0603_1608Metric",125.000000,-86.270000,90.000000,top
"C6","0.01uF","C_0603_1608Metric",133.225000,-72.000000,180.000000,top
"C7","0.1uF","C_0603_1608Metric",134.725000,-74.500000,0.000000,top
"C8","0.01uF","C_0603_1608Metric",137.000000,-72.225000,90.000000,top
"C9","0.1uF","C_0603_1608Metric",133.000000,-86.270000,90.000000,top
"C10","0.1uF","C_0603_1608Metric",138.000000,-86.270000,90.000000,top
"C11","0.01uF","C_0603_1608Metric",145.225000,-72.000000,180.000000,top
"C12","0.1uF","C_0603_1608Metric",146.775000,-74.500000,0.000000,top
"C13","0.01uF","C_0603_1608Metric",149.000000,-72.225000,90.000000,top
"C14","0.1uF","C_0603_1608Metric",145.500000,-86.270000,90.000000,top
"C15","0.1uF","C_0603_1608Metric",150.500000,-86.270000,90.000000,top
"C16","0.01uF","C_0603_1608Metric",157.725000,-72.500000,180.000000,top
"C17","0.1uF","C_0603_1608Metric",159.275000,-74.500000,0.000000,top
"C18","0.01uF","C_0603_1608Metric",161.500000,-72.275000,90.000000,top
"C19","0.1uF","C_0603_1608Metric",157.500000,-86.180000,90.000000,top
"C20","0.1uF","C_0603_1608Metric",163.500000,-86.225000,90.000000,top
"J1","Conn_01x08_Socket","PhoenixContact_MCV_1,5_8-G-3.81_1x08_P3.81mm_Vertical",130.330000,-64.000000,0.000000,top
"R1","2k","R_0603_1608Metric",127.050000,-73.050000,180.000000,top
"R2","2k","R_0603_1608Metric",127.050000,-71.050000,180.000000,top
"R3","2k","R_0603_1608Metric",121.050000,-70.050000,180.000000,top
"R4","2k","R_0603_1608Metric",133.175000,-70.000000,180.000000,top
"R5","2k","R_0603_1608Metric",139.325000,-71.500000,180.000000,top
"R6","2k","R_0603_1608Metric",139.325000,-73.500000,180.000000,top
"R7","2k","R_0603_1608Metric",145.175000,-70.000000,180.000000,top
"R8","2k","R_0603_1608Metric",151.325000,-71.500000,180.000000,top
"R9","2k","R_0603_1608Metric",151.325000,-73.500000,180.000000,top
"R10","2k","R_0603_1608Metric",157.675000,-70.000000,180.000000,top
"R11","2k","R_0603_1608Metric",163.825000,-71.500000,180.000000,top
"R12","2k","R_0603_1608Metric",163.825000,-73.500000,180.000000,top
"U1","MAX31856","TSSOP-14_4.4x5mm_P0.65mm",122.675000,-79.687500,-90.000000,top
"U2","MAX31856","TSSOP-14_4.4x5mm_P0.65mm",135.362500,-79.700000,-90.000000,top
"U3","MAX31856","TSSOP-14_4.4x5mm_P0.65mm",147.650000,-79.862500,-90.000000,top
"U4","MAX31856","TSSOP-14_4.4x5mm_P0.65mm",160.450000,-79.862500,-90.000000,top
